#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
1    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
2    1e+11    1e+11    0    0    7.6568e-16    7.6568e-16    
3    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
4    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
5    1e+11    1e+11    0    0    3.8284e-16    3.8284e-16    
6    1e+11    1e+11    0    0    1.02091e-15    1.02091e-15    
7    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
8    1e+11    1e+11    0    0    -2.55227e-16    -2.55227e-16    
9    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
10    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
11    1e+11    1e+11    0    0    0    0    
12    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
13    1e+11    1e+11    0    0    -5.10453e-16    -5.10453e-16    
14    1e+11    1e+11    0    0    3.8284e-16    3.8284e-16    
15    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
16    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
17    1e+11    1e+11    0    0    7.6568e-16    7.6568e-16    
18    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
19    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
20    1e+11    1e+11    0    0    -5.10453e-16    -5.10453e-16    
21    1e+11    1e+11    0    0    8.93293e-16    8.93293e-16    
22    1e+11    1e+11    0    0    3.8284e-16    3.8284e-16    
23    1e+11    1e+11    0    0    1.40375e-15    1.40375e-15    
24    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
25    1e+11    1e+11    0    0    1.40375e-15    1.40375e-15    
26    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
27    1e+11    1e+11    0    0    -3.8284e-16    -3.8284e-16    
28    1e+11    1e+11    0    0    2.16943e-15    2.16943e-15    
29    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
30    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
31    1e+11    1e+11    0    0    -6.38066e-16    -6.38066e-16    
32    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
33    1e+11    1e+11    0    0    -8.93293e-16    -8.93293e-16    
34    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
35    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
36    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
37    1e+11    1e+11    0    0    -7.6568e-16    -7.6568e-16    
38    1e+11    1e+11    0    0    1.9142e-15    1.9142e-15    
39    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
40    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
41    1e+11    1e+11    0    0    0    0    
42    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
43    1e+11    1e+11    0    0    3.8284e-16    3.8284e-16    
44    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
45    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
46    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
47    1e+11    1e+11    0    0    2.42465e-15    2.42465e-15    
48    1e+11    1e+11    0    0    0    0    
49    1e+11    1e+11    0    0    -2.55227e-16    -2.55227e-16    
50    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
51    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
52    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
53    1e+11    1e+11    0    0    8.93293e-16    8.93293e-16    
54    1e+11    1e+11    0    0    -7.6568e-16    -7.6568e-16    
55    1e+11    1e+11    0    0    0    0    
56    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
57    1e+11    1e+11    0    0    1.40375e-15    1.40375e-15    
58    1e+11    1e+11    0    0    8.93293e-16    8.93293e-16    
59    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
60    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
61    1e+11    1e+11    0    0    -5.10453e-16    -5.10453e-16    
62    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
63    1e+11    1e+11    0    0    -1.02091e-15    -1.02091e-15    
64    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
65    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
66    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
67    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
68    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
69    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
70    1e+11    1e+11    0    0    7.6568e-16    7.6568e-16    
